Site_Name	ID	tag	species	stem	censinyr	growinyr	deathyr	censoryr	yrMIA	postX	postY	localX	localY	x	y	UTM_Easting	UTM_Northing	elevation	diam2011	diam2014	sex2011	sex2014	canopy2011	canopy2014	damage	damage2011	damage2014	Notes2011	Notes2014
Purchase_Knob	326.01	2200	acerPens	1	2011	NaN	NaN	NaN	NaN	30	50	2.0	2.5	32.0	52.5	311478.3820	3940217.4430	434.5039	2.29	3.22	UN	UN	0	0	ND	ND	ND		
Purchase_Knob	326.02	2200	acerPens	2	2011	NaN	NaN	NaN	NaN	30	50	2.0	2.5	32.0	52.5	311478.3820	3940217.4430	434.5039	1.73	1.92	UN	UN	0	0	ND	ND	ND		
Purchase_Knob	298.01	2436	acerRubr	1	2011	NaN	NaN	NaN	NaN	30	50	0.5	0.5	30.5	50.5	311477.1749	3940215.2530	434.5039	1.86	2.12	UN	UN	0	1	ND	ND	ND		
Purchase_Knob	312.01	2181	acerRubr	1	2011	NaN	NaN	NaN	NaN	30	60	1.0	9.8	31.0	69.8	311474.9840	3940234.4350	436.5375	7.01	8.10	UN	UN	1	0	ND	ND	ND		
Purchase_Knob	382.01	2183	acerRubr	1	2011	NaN	NaN	NaN	NaN	30	60	7.0	7.0	37.0	67.0	311481.3153	3940232.4970	435.5651	19.20	19.50	UN	UN	2	2	ND	ND	ND		
Purchase_Knob	405.01	2184	querRubr	1	2011	NaN	NaN	NaN	NaN	30	60	9.0	3.5	39.0	63.5	311483.7830	3940229.3100	435.7590	53.00	54.20	UN	UN	2	2	ND	ND	ND		
Purchase_Knob	345.01	2185	acerPens	1	2011	NaN	NaN	NaN	NaN	30	60	4.0	3.0	34.0	63.0	311478.9012	3940228.1190	435.5651	1.18	1.42	UN	UN	0	0	ND	ND	ND		
Purchase_Knob	360.01	7376	faguGran	1	2011	NaN	NaN	NaN	NaN	30	60	5.0	4.0	35.0	64.0	311479.7523	3940229.2480	435.5651	9.40	10.40	UN	UN	1	0	ND	ND	ND		
Purchase_Knob	300.01	2173	querPrin	1	2011	NaN	NaN	NaN	NaN	30	70	0.5	2.0	30.5	72.0	311474.1827	3940236.5440	436.5375	65.50	65.30	UN	UN	2	2	ND	ND	ND		
Purchase_Knob	328.01	2175	acerRubr	1	2011	NaN	NaN	NaN	NaN	30	70	2.5	1.0	32.5	71.0	311476.3024	3940235.8320	436.5375	2.92	3.10	UN	UN	0	0	ND	ND	ND		
Purchase_Knob	346.01	2176	acerRubr	1	2011	NaN	NaN	NaN	NaN	30	70	4.0	4.0	34.0	74.0	311477.3703	3940239.0120	436.5375	6.40	6.50	UN	UN	0	0	D	CDF	BF		
Purchase_Knob	392.01	2177	tsugCana	1	2011	NaN	2014	NaN	NaN	30	70	8.0	7.0	38.0	77.0	311480.9139	3940242.5390	436.5375	2.11	NaN	UN	NA	0	NA	ND	ND	NA	3	3
