plot.id,tree.no,bearing,dist,dbh,occl,species,cr.p,height,h.cr,diameter1,diameter2,notes,date,tree.no.2012
Harv_01_NE,46,231,9.6,26.1,V,RedMaple,C,19,2.3,8.2,8.3,NA,2013-09-20,13
Harv_01_NE,47,232,13.1,20.4,V,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NE,48,225,11,11,O,SurgarMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NE,49,235.5,8.5,43.2,V,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NE,50,241,6.6,5,V,Chestnut,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NE,51,243,18.6,15,P,Dead,NA,NA,NA,NA,NA,WhiteBirch,2013-09-20,NA
Harv_01_NE,52,245,13.1,15.5,V,BlackBirch,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NE,53,250,7.6,17.1,V,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NE,54,255,16.2,50.5,V,RedOak,D,25.6,9.6,12.8,9.9,NA,2013-09-20,25
Harv_01_NE,55,260,16.5,29.2,V,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NE,56,266,12.7,14,V,BlackBirch,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NE,57,263,9.1,5.3,V,Chestnut,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NE,58,273,15.7,30.5,V,BlackBirch,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NE,59,284.5,10.6,14.5,V,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NE,60,286,13,30.7,V,RedOak,D,21.2,12.8,8.1,7.7,NA,2013-09-20,34
Harv_01_NE,61,284,16.5,16.6,P,BlackBirch,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NE,62,287,16.6,12.8,P,BlackBirch,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NE,63,288,18.4,16.5,P,RedMaple,C,18,9.5,6.5,5.6,NA,2013-09-20,36
Harv_01_NE,64,304,6.1,55.8,V,Oak,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NE,65,304,14.8,10.7,O,BlackBirch,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NE,66,311,15,27.1,P,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NE,67,310.5,8.6,18.2,V,BlackBirch,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NE,68,325,15.2,10.9,P,RedMaple,D,12.5,9.1,9.3,4.4,leaning,2013-09-20,52
Harv_01_NE,69,333,8.6,19.3,V,BlackBirch,D,15,9,8.9,7.5,NA,2013-09-20,53
Harv_01_NE,70,319,16.1,12.7,P,BlackBirch,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NE,71,344,13.6,50.8,V,Oak,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NE,72,350,11.7,23.7,V,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NE,73,353,9.3,5,V,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NE,74,356,10,8.4,V,Dead,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NE,75,349,4.3,16.9,V,BlackBirch,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NW,1,0,5.3,12.5,V,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NW,2,2,5.3,18.2,P,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NW,3,4,5.3,23.7,V,RedMaple,NA,28.8,9,5.6,2.5,NA,2013-09-20,1
Harv_01_NW,4,14,12.1,25.3,O,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NW,5,14,11.8,28.5,V,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NW,8,17,19.9,10.3,P,BlackBirch,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NW,6,18,13.6,10,V,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NW,7,18,19.8,14.6,P,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NW,9,24,18.6,43.9,V,RedOak,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NW,10,26,4.5,6.6,V,WhiteBeech,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NW,11,31,16.4,16.9,V,WhiteBirch,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NW,12,34,9.2,32.1,V,BlackBirch,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NW,13,37,7.9,19.5,V,BlackBirch,NA,21.2,7.1,5,7.1,NA,2013-09-20,10
Harv_01_NW,14,40,19.6,18.5,P,BlackBirch,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NW,15,43,17.5,22.5,V,BlackBirch,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NW,16,50,12.7,11,V,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NW,17,53,15.9,10.9,V,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NW,18,59,13.3,34.1,V,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NW,20,62,19.4,75.1,O,RedOak,NA,21,8.6,14.5,142,NA,2013-09-20,18
Harv_01_NW,19,64,11.2,24.3,V,BlackBirch,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NW,21,72,19.1,50.2,O,RedOak,NA,33,11.5,9.4,30.5,NA,2013-09-20,22
Harv_01_NW,36,72,9.5,7.1,V,WhiteBirch,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NW,22,73,16.6,42.8,V,WhitePine,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NW,26,73,8.5,21.6,V,Dead,NA,NA,NA,NA,NA,Birch,2013-09-20,NA
Harv_01_NW,25,76,9.1,15.3,V,WhiteBirch,NA,NA,NA,NA,NA,NA,2013-09-20,NA
